Temperature,Solar radiation,PV power,Wind speed,Wind power,Consumption,DK2,Day sin,Day cos
0.2016839378238342,0.0,0.0,0.22091503267973855,0.21594594594594596,0.29950495049504955,0.09658617818484597,0.6294095225510438,0.9829629131445922
0.19170984455958548,0.0,0.0,0.17320261437908496,0.08405405405405406,0.28217821782178215,0.09658617818484597,0.7499999999975204,0.9330127018936509
0.18341968911917098,0.0,0.0,0.12287581699346405,0.08756756756756758,0.2846534653465347,0.09616985845129059,0.8535533905893832,0.8535533905971644
0.16580310880829016,0.0,0.0,0.07450980392156861,0.12945945945945947,0.31188118811881194,0.0974188176519567,0.9330127018917868,0.7500000000007492
0.15544041450777202,0.0,0.0,0.0915032679738562,0.09621621621621622,0.3712871287128713,0.09970857618651124,0.9829629131436273,0.629409522554645
0.17098445595854922,0.0,0.003160714285714286,0.07189542483660132,0.15216216216216216,0.4975247524752476,0.10366361365528726,1.0,0.500000000006143
0.19455958549222796,0.0,0.04732142857142858,0.062418300653594765,0.26756756756756755,0.6163366336633663,0.11178184845961699,0.9829629131449239,0.37059047745019424
0.22746113989637304,0.011971830985915493,0.1410714285714286,0.18366013071895423,0.4189189189189189,0.6930693069306931,0.11178184845961699,0.9330127018942918,0.2500000000035896
0.2533678756476684,0.0823943661971831,0.21473214285714284,0.25620915032679736,0.6189189189189189,0.7574257425742574,0.10845129059117402,0.8535533905929258,0.14644660940637827
0.27331606217616583,0.17136150234741784,0.3174107142857143,0.3104575163398693,0.6621621621621622,0.7747524752475247,0.10657785179017486,0.7500000000018592,0.06698729810885407
0.2841968911917098,0.15258215962441316,0.4147321428571428,0.361437908496732,0.7216216216216216,0.8366336633663366,0.104496253122398,0.629409522555883,0.017037086856704464
0.3038860103626943,0.19953051643192488,0.41651785714285716,0.3535947712418301,0.47027027027027024,0.7128712871287128,0.10283097418817652,0.5000000000001487,0.0
0.29948186528497406,0.24178403755868544,0.4424107142857143,0.3803921568627451,0.4837837837837837,0.7178217821782178,0.10137385512073273,0.37059047745143225,0.017037086854744365
0.29740932642487045,0.23708920187793428,0.28571428571428575,0.3457516339869281,0.3081081081081081,0.6262376237623762,0.10074937552039967,0.2500000000046996,0.06698729810506737
0.2904145077720207,0.1936619718309859,0.23928571428571432,0.34248366013071896,0.33513513513513515,0.5891089108910891,0.1003330557868443,0.1464466094072845,0.14644660940616794
0.27901554404145074,0.1396713615023474,0.07589285714285715,0.2973856209150327,0.327027027027027,0.5693069306930694,0.10012489592006661,0.06698729810949489,0.24999999999703088
0.29119170984455955,0.11161971830985915,0.011964285714285715,0.3405228758169934,0.527027027027027,0.6584158415841584,0.10054121565362198,0.0170370868570362,0.370590477442879
0.2904145077720207,0.034389671361502346,0.0,0.2437908496732026,0.6324324324324324,0.6732673267326733,0.10095753538717735,0.0,0.49999999999856964
0.2981865284974093,0.0,0.0,0.26535947712418295,0.7756756756756756,0.6460396039603961,0.10074937552039967,0.01703708685441263,0.6294095225473297
0.3134715025906736,0.0,0.0,0.3372549019607843,0.8540540540540541,0.5965346534653466,0.08222314737718568,0.06698729810806453,0.7500000000004916
0.3163212435233161,0.0,0.0,0.3333333333333333,0.9297297297297297,0.5495049504950495,0.08846794338051624,0.14644660940526166,0.8535533905918092
0.31295336787564765,0.0,0.0,0.3392156862745098,0.9837837837837837,0.4876237623762377,0.06806827643630307,0.24999999999592093,0.9330127018898642
0.3132124352331606,0.0,0.0,0.37254901960784315,0.9567567567567568,0.4356435643564357,0.03157577019150708,0.370590477448669,0.9829629131445152
0.31735751295336784,0.0,0.0,0.4163398692810457,0.8729729729729729,0.3910891089108911,0.0466278101582015,0.49999999999728795,1.0
0.3170984455958549,0.0,0.0,0.361437908496732,0.8378378378378378,0.36386138613861385,0.06598667776852622,0.6294095225460917,0.982962913145919
0.311139896373057,0.0,0.0,0.32287581699346407,0.9513513513513514,0.3688118811881188,0.0720233139050791,0.7499999999993817,0.9330127018925762
0.31295336787564765,0.0,0.0,0.357516339869281,0.8945945945945947,0.3712871287128713,0.08388842631140717,0.853553390590903,0.8535533905956446
0.3145077720207254,0.0,0.0,0.39738562091503266,0.827027027027027,0.37623762376237624,0.08846794338051624,0.9330127018892234,0.7500000000051891
0.2896373056994819,0.0,0.0,0.41830065359477125,0.8837837837837839,0.4554455445544554,0.09367194004995837,0.9829629131441835,0.629409522552569
0.2844559585492228,0.0,0.0016607142857142858,0.3986928104575163,0.927027027027027,0.5915841584158416,0.09637801831806828,1.0,0.5000000000039937
0.2917098445595855,0.0,0.03245535714285715,0.3986928104575163,0.8864864864864864,0.7103960396039605,0.0988759367194005,0.9829629131462507,0.3705904774551463
0.3,0.010305164319248826,0.17633928571428573,0.4013071895424836,0.8702702702702704,0.7475247524752476,0.09991673605328892,0.9330127018932171,0.2500000000017283
0.31088082901554404,0.07734741784037559,0.3321428571428572,0.4424836601307189,0.7702702702702703,0.7524752475247525,0.09970857618651124,0.8535533905965509,0.14644660941000337
0.3199481865284974,0.2664319248826291,0.3888392857142858,0.36993464052287583,0.835135135135135,0.8094059405940595,0.09908409658617819,0.7499999999999978,0.06698729810777942
0.3204663212435233,0.15258215962441316,0.3950892857142857,0.39477124183006534,0.8540540540540541,0.8168316831683169,0.09845961698584513,0.629409522553807,0.017037086856148242
0.3380829015544041,0.3368544600938967,0.35446428571428573,0.4738562091503268,0.7891891891891891,0.7673267326732673,0.09804329725228976,0.5000000000052753,0.0
