Time,Photovoltaic
14-03-2022 00:00,0.0
14-03-2022 01:00,0.0
14-03-2022 02:00,0.0
14-03-2022 03:00,0.0
14-03-2022 04:00,0.0
14-03-2022 05:00,0.0
14-03-2022 06:00,0.183
14-03-2022 07:00,1.4
14-03-2022 08:00,4.36
14-03-2022 09:00,9.58
14-03-2022 10:00,13.5
14-03-2022 11:00,16.4
14-03-2022 12:00,17.8
14-03-2022 13:00,17.5
14-03-2022 14:00,15.8
14-03-2022 15:00,12.5
14-03-2022 16:00,7.52
14-03-2022 17:00,1.62
14-03-2022 18:00,0.00868
14-03-2022 19:00,0.0
14-03-2022 20:00,0.0
14-03-2022 21:00,0.0
14-03-2022 22:00,0.0
14-03-2022 23:00,0.0
15-03-2022 00:00,0.0
15-03-2022 01:00,0.0
15-03-2022 02:00,0.0
15-03-2022 03:00,0.0
15-03-2022 04:00,0.0
15-03-2022 05:00,0.0
15-03-2022 06:00,0.0865
15-03-2022 07:00,0.144
15-03-2022 08:00,0.66
15-03-2022 09:00,1.11
15-03-2022 10:00,3.13
15-03-2022 11:00,5.29
15-03-2022 12:00,4.49
15-03-2022 13:00,3.72
15-03-2022 14:00,2.93
15-03-2022 15:00,2.49
15-03-2022 16:00,1.06
15-03-2022 17:00,0.156
15-03-2022 18:00,0.00218
15-03-2022 19:00,0.0
15-03-2022 20:00,0.0
15-03-2022 21:00,0.0
15-03-2022 22:00,0.0
15-03-2022 23:00,0.0
16-03-2022 00:00,0.0
16-03-2022 01:00,0.0
16-03-2022 02:00,0.0
16-03-2022 03:00,0.0
16-03-2022 04:00,0.0
16-03-2022 05:00,0.0
16-03-2022 06:00,0.0544
16-03-2022 07:00,0.339
16-03-2022 08:00,1.15
16-03-2022 09:00,2.41
16-03-2022 10:00,5.76
16-03-2022 11:00,9.21
16-03-2022 12:00,9.45
16-03-2022 13:00,7.44
16-03-2022 14:00,4.46
16-03-2022 15:00,2.42
16-03-2022 16:00,1.07
16-03-2022 17:00,0.197
16-03-2022 18:00,0.00511
16-03-2022 19:00,0.0
16-03-2022 20:00,0.0
16-03-2022 21:00,0.0
16-03-2022 22:00,0.0
16-03-2022 23:00,0.0
17-03-2022 00:00,0.0
17-03-2022 01:00,0.0
17-03-2022 02:00,0.0
17-03-2022 03:00,0.0
17-03-2022 04:00,0.0
17-03-2022 05:00,0.0
17-03-2022 06:00,0.164
17-03-2022 07:00,0.513
17-03-2022 08:00,1.37
17-03-2022 09:00,2.65
17-03-2022 10:00,3.94
17-03-2022 11:00,3.89
17-03-2022 12:00,4.04
17-03-2022 13:00,3.68
17-03-2022 14:00,2.74
17-03-2022 15:00,1.75
17-03-2022 16:00,0.762
17-03-2022 17:00,0.13
17-03-2022 18:00,0.00206
17-03-2022 19:00,0.0
17-03-2022 20:00,0.0
17-03-2022 21:00,0.0
17-03-2022 22:00,0.0
17-03-2022 23:00,0.0
18-03-2022 00:00,0.0
18-03-2022 01:00,0.0
18-03-2022 02:00,0.0
18-03-2022 03:00,0.0
18-03-2022 04:00,0.0
18-03-2022 05:00,0.0
18-03-2022 06:00,0.287
18-03-2022 07:00,1.81
18-03-2022 08:00,5.66
18-03-2022 09:00,10.1
18-03-2022 10:00,13.9
18-03-2022 11:00,14.4
18-03-2022 12:00,14.6
18-03-2022 13:00,11.8
18-03-2022 14:00,9.85
18-03-2022 15:00,8.86
18-03-2022 16:00,8.51
18-03-2022 17:00,2.9
18-03-2022 18:00,0.0492
18-03-2022 19:00,0.0
18-03-2022 20:00,0.0
18-03-2022 21:00,0.0
18-03-2022 22:00,0.0
18-03-2022 23:00,0.0
19-03-2022 00:00,0.0
19-03-2022 01:00,0.0
19-03-2022 02:00,0.0
19-03-2022 03:00,0.0
19-03-2022 04:00,0.0
19-03-2022 05:00,0.0
19-03-2022 06:00,0.297
19-03-2022 07:00,1.75
19-03-2022 08:00,5.55
19-03-2022 09:00,10.4
19-03-2022 10:00,14.5
19-03-2022 11:00,17.3
19-03-2022 12:00,18.7
19-03-2022 13:00,18.7
19-03-2022 14:00,17.3
19-03-2022 15:00,13.2
19-03-2022 16:00,6.46
19-03-2022 17:00,1.79
19-03-2022 18:00,0.0493
19-03-2022 19:00,0.0
19-03-2022 20:00,0.0
19-03-2022 21:00,0.0
19-03-2022 22:00,0.0
19-03-2022 23:00,0.0
20-03-2022 00:00,0.0
20-03-2022 01:00,0.0
20-03-2022 02:00,0.0
20-03-2022 03:00,0.0
20-03-2022 04:00,0.0
20-03-2022 05:00,0.0
20-03-2022 06:00,0.218
20-03-2022 07:00,1.43
20-03-2022 08:00,4.0
20-03-2022 09:00,7.76
20-03-2022 10:00,12.9
20-03-2022 11:00,15.9
20-03-2022 12:00,17.8
20-03-2022 13:00,17.2
20-03-2022 14:00,17.1
20-03-2022 15:00,13.9
20-03-2022 16:00,9.16
20-03-2022 17:00,3.15
20-03-2022 18:00,0.0519
20-03-2022 19:00,0.0
20-03-2022 20:00,0.0
20-03-2022 21:00,0.0
20-03-2022 22:00,0.0
20-03-2022 23:00,0.0
21-03-2022 00:00,0.0
21-03-2022 01:00,0.0
21-03-2022 02:00,0.0
21-03-2022 03:00,0.0
21-03-2022 04:00,0.0
21-03-2022 05:00,0.00509
21-03-2022 06:00,0.443
21-03-2022 07:00,2.04
21-03-2022 08:00,5.61
21-03-2022 09:00,11.1
21-03-2022 10:00,13.0
