Time,PV power,datetime,freq
1654863055.0,0.0,10-06-2022 12:00,1
1654863115.0,0.0,10-06-2022 12:00,1
1654863175.0,17.6,10-06-2022 12:00,1
1654863235.0,17.7,10-06-2022 12:00,1
1654863295.0,13.9,10-06-2022 12:00,1
1654863355.0,0.0,10-06-2022 12:00,1
1654863415.0,0.0,10-06-2022 12:00,1
1654863475.0,16.8,10-06-2022 12:00,1
1654863535.0,16.1,10-06-2022 12:00,1
1654863595.0,17.4,10-06-2022 12:00,1
1654863655.0,0.0,10-06-2022 12:00,1
1654863715.0,17.6,10-06-2022 12:00,1
1654863775.0,17.0,10-06-2022 12:00,1
1654863835.0,0.0,10-06-2022 12:00,1
1654863895.0,17.0,10-06-2022 12:00,1
1654863955.0,0.0,10-06-2022 12:00,1
1654864015.0,0.0,10-06-2022 12:00,1
1654864075.0,17.7,10-06-2022 12:00,1
1654864135.0,0.0,10-06-2022 12:00,1
1654864195.0,13.8,10-06-2022 12:00,1
1654864255.0,0.0,10-06-2022 12:00,1
1654864315.0,17.2,10-06-2022 12:00,1
1654864375.0,0.0,10-06-2022 12:00,1
1654864435.0,0.0,10-06-2022 12:00,1
1654864495.0,15.3,10-06-2022 12:00,1
1654864555.0,17.6,10-06-2022 12:00,1
1654864615.0,0.0,10-06-2022 12:00,1
1654864675.0,15.3,10-06-2022 12:00,1
1654864735.0,0.0,10-06-2022 12:00,1
1654864795.0,0.0,10-06-2022 12:00,1
1654864855.0,14.1,10-06-2022 12:00,1
1654864915.0,0.0,10-06-2022 12:00,1
1654864975.0,14.9,10-06-2022 12:00,1
1654865035.0,0.0,10-06-2022 12:00,1
1654865095.0,0.0,10-06-2022 12:00,1
1654865155.0,0.0,10-06-2022 12:00,1
1654865215.0,0.0,10-06-2022 12:00,1
1654865275.0,15.4,10-06-2022 12:00,1
1654865335.0,16.7,10-06-2022 12:00,1
1654865395.0,0.0,10-06-2022 12:00,1
1654865455.0,17.3,10-06-2022 12:00,1
1654865515.0,17.3,10-06-2022 12:00,1
1654865575.0,0.0,10-06-2022 12:00,1
1654865635.0,0.0,10-06-2022 12:00,1
1654865695.0,0.0,10-06-2022 12:00,1
1654865755.0,17.1,10-06-2022 12:00,1
1654865815.0,17.1,10-06-2022 12:00,1
1654865875.0,17.0,10-06-2022 12:00,1
1654865935.0,0.0,10-06-2022 12:00,1
1654865995.0,17.0,10-06-2022 12:00,1
1654866055.0,15.5,10-06-2022 13:00,1
1654866115.0,0.0,10-06-2022 13:00,1
1654866175.0,0.0,10-06-2022 13:00,1
1654866235.0,0.0,10-06-2022 13:00,1
1654866295.0,16.8,10-06-2022 13:00,1
1654866355.0,0.0,10-06-2022 13:00,1
1654866415.0,0.0,10-06-2022 13:00,1
1654866475.0,16.8,10-06-2022 13:00,1
1654866535.0,0.0,10-06-2022 13:00,1
1654866595.0,0.0,10-06-2022 13:00,1
1654866655.0,0.0,10-06-2022 13:00,1
1654866715.0,12.0,10-06-2022 13:00,1
1654866775.0,0.0,10-06-2022 13:00,1
1654866835.0,12.5,10-06-2022 13:00,1
1654866895.0,0.0,10-06-2022 13:00,1
1654866955.0,0.0,10-06-2022 13:00,1
1654867015.0,0.0,10-06-2022 13:00,1
1654867075.0,0.0,10-06-2022 13:00,1
1654867135.0,0.0,10-06-2022 13:00,1
1654867195.0,0.0,10-06-2022 13:00,1
1654867255.0,0.0,10-06-2022 13:00,1
1654867315.0,0.0,10-06-2022 13:00,1
1654867375.0,16.6,10-06-2022 13:00,1
1654867435.0,0.0,10-06-2022 13:00,1
1654867495.0,0.0,10-06-2022 13:00,1
1654867555.0,0.0,10-06-2022 13:00,1
1654867615.0,0.0,10-06-2022 13:00,1
1654867675.0,16.5,10-06-2022 13:00,1
1654867735.0,0.0,10-06-2022 13:00,1
1654867795.0,0.0,10-06-2022 13:00,1
1654867855.0,16.6,10-06-2022 13:00,1
1654867915.0,16.6,10-06-2022 13:00,1
1654867975.0,0.0,10-06-2022 13:00,1
1654868035.0,0.0,10-06-2022 13:00,1
1654868095.0,0.0,10-06-2022 13:00,1
1654868155.0,0.0,10-06-2022 13:00,1
1654868215.0,0.0,10-06-2022 13:00,1
1654868275.0,0.0,10-06-2022 13:00,1
1654868335.0,0.0,10-06-2022 13:00,1
1654868395.0,0.0,10-06-2022 13:00,1
1654868455.0,0.0,10-06-2022 13:00,1
1654868515.0,0.0,10-06-2022 13:00,1
1654868575.0,16.2,10-06-2022 13:00,1
1654868635.0,16.2,10-06-2022 13:00,1
1654868695.0,0.0,10-06-2022 13:00,1
1654868755.0,12.3,10-06-2022 13:00,1
1654868815.0,0.0,10-06-2022 13:00,1
1654868875.0,0.0,10-06-2022 13:00,1
1654868935.0,0.0,10-06-2022 13:00,1
1654868995.0,0.0,10-06-2022 13:00,1
1654869055.0,15.7,10-06-2022 13:00,1
1654869115.0,16.1,10-06-2022 13:00,1
1654869175.0,0.0,10-06-2022 13:00,1
1654869235.0,0.0,10-06-2022 13:00,1
1654869295.0,0.0,10-06-2022 13:00,1
1654869355.0,0.0,10-06-2022 13:00,1
1654869415.0,0.0,10-06-2022 13:00,1
1654869475.0,0.0,10-06-2022 13:00,1
1654869535.0,0.0,10-06-2022 13:00,1
1654869595.0,0.0,10-06-2022 13:00,1
1654869655.0,10.9,10-06-2022 14:00,1
1654869715.0,11.0,10-06-2022 14:00,1
1654869775.0,0.0,10-06-2022 14:00,1
1654869835.0,15.8,10-06-2022 14:00,1
1654869895.0,15.7,10-06-2022 14:00,1
1654869955.0,0.0,10-06-2022 14:00,1
1654870015.0,0.0,10-06-2022 14:00,1
1654870075.0,15.7,10-06-2022 14:00,1
1654870135.0,15.6,10-06-2022 14:00,1
1654870195.0,0.0,10-06-2022 14:00,1
1654870255.0,15.7,10-06-2022 14:00,1
1654870315.0,0.0,10-06-2022 14:00,1
1654870375.0,15.7,10-06-2022 14:00,1
1654870435.0,15.5,10-06-2022 14:00,1
1654870495.0,11.0,10-06-2022 14:00,1
1654870555.0,0.0,10-06-2022 14:00,1
1654870615.0,10.8,10-06-2022 14:00,1
1654870675.0,0.0,10-06-2022 14:00,1
1654870735.0,15.1,10-06-2022 14:00,1
1654870795.0,0.0,10-06-2022 14:00,1
1654870855.0,0.0,10-06-2022 14:00,1
1654870915.0,0.0,10-06-2022 14:00,1
1654870975.0,15.4,10-06-2022 14:00,1
1654871035.0,14.8,10-06-2022 14:00,1
1654871095.0,0.0,10-06-2022 14:00,1
1654871155.0,0.0,10-06-2022 14:00,1
1654871215.0,0.0,10-06-2022 14:00,1
1654871275.0,11.8,10-06-2022 14:00,1
1654871335.0,0.0,10-06-2022 14:00,1
1654871395.0,11.6,10-06-2022 14:00,1
1654871455.0,11.6,10-06-2022 14:00,1
1654871515.0,14.6,10-06-2022 14:00,1
1654871575.0,0.0,10-06-2022 14:00,1
1654871635.0,15.4,10-06-2022 14:00,1
1654871695.0,0.0,10-06-2022 14:00,1
1654871755.0,0.0,10-06-2022 14:00,1
1654871815.0,0.0,10-06-2022 14:00,1
1654871875.0,15.0,10-06-2022 14:00,1
1654871935.0,0.0,10-06-2022 14:00,1
1654871995.0,0.0,10-06-2022 14:00,1
1654872055.0,14.5,10-06-2022 14:00,1
1654872115.0,0.0,10-06-2022 14:00,1
1654872175.0,0.0,10-06-2022 14:00,1
1654872235.0,0.0,10-06-2022 14:00,1
1654872295.0,0.0,10-06-2022 14:00,1
1654872355.0,0.0,10-06-2022 14:00,1
1654872415.0,0.0,10-06-2022 14:00,1
1654872475.0,0.0,10-06-2022 14:00,1
1654872535.0,0.0,10-06-2022 14:00,1
1654872595.0,0.0,10-06-2022 14:00,1
1654872655.0,13.6,10-06-2022 14:00,1
1654872715.0,13.5,10-06-2022 14:00,1
1654872775.0,13.5,10-06-2022 14:00,1
1654872835.0,0.0,10-06-2022 14:00,1
1654872895.0,13.8,10-06-2022 14:00,1
1654872955.0,13.7,10-06-2022 14:00,1
1654873015.0,13.6,10-06-2022 14:00,1
1654873075.0,0.0,10-06-2022 14:00,1
1654873135.0,0.0,10-06-2022 14:00,1
1654873195.0,0.0,10-06-2022 14:00,1
1654873255.0,0.0,10-06-2022 15:00,1
1654873315.0,10.0,10-06-2022 15:00,1
1654873375.0,0.0,10-06-2022 15:00,1
1654873435.0,0.0,10-06-2022 15:00,1
1654873495.0,0.0,10-06-2022 15:00,1
1654873555.0,12.8,10-06-2022 15:00,1
1654873615.0,0.0,10-06-2022 15:00,1
1654873675.0,0.0,10-06-2022 15:00,1
1654873735.0,0.0,10-06-2022 15:00,1
